# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "index/reference.gff" "-o" "counts.txt" "bam/SRR10379724.bam" "bam/SRR10379725.bam" "bam/SRR10379726.bam" "bam/SRR10379721.bam" "bam/SRR10379722.bam" "bam/SRR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR10379724.bam	bam/SRR10379725.bam	bam/SRR10379726.bam	bam/SRR10379721.bam	bam/SRR10379722.bam	bam/SRR10379723.bam
gene-SAOUHSC_01454	CP000253.1	1410725	1411603	-	879	4691	6027	1073	2264	1816	1513
gene-SAOUHSC_01455	CP000253.1	1411623	1415063	-	3441	13008	16156	949	6348	5002	4384
gene-SAOUHSC_01456	CP000253.1	1415367	1416707	+	1341	790	904	136	1565	1414	1074
gene-SAOUHSC_01458	CP000253.1	1416796	1416948	+	153	19	31	5	22	18	18
gene-SAOUHSC_01459	CP000253.1	1416913	1417245	-	333	519	610	57	605	506	495
gene-SAOUHSC_01460	CP000253.1	1417329	1418474	-	1146	2035	1564	204	2218	2260	1702
gene-SAOUHSC_01462	CP000253.1	1419125	1419469	-	345	15369	19579	1506	11922	11816	8843
gene-SAOUHSC_01463	CP000253.1	1419483	1420046	-	564	14920	17898	1874	10113	11035	6947
gene-SAOUHSC_01464	CP000253.1	1420039	1420389	-	351	5571	6656	283	4497	4132	2696
gene-SAOUHSC_01465	CP000253.1	1420444	1420620	-	177	1	0	6	4	5	3
gene-SAOUHSC_01466	CP000253.1	1420878	1421555	+	678	16459	11064	1830	33135	32053	28183
gene-SAOUHSC_01467	CP000253.1	1421552	1423735	+	2184	111588	79977	19671	210795	201744	183129
gene-SAOUHSC_01468	CP000253.1	1424301	1424642	-	342	1928	1881	114	2751	2134	1981
gene-SAOUHSC_01469	CP000253.1	1424647	1425306	-	660	3502	2817	294	5603	4703	3482
gene-SAOUHSC_01470	CP000253.1	1425296	1425982	-	687	3251	3337	258	4181	3531	2622
gene-SAOUHSC_01471	CP000253.1	1426310	1427602	-	1293	13758	12412	2993	8574	6610	5852
gene-SAOUHSC_01472	CP000253.1	1427924	1430617	-	2694	6022	5977	738	7026	4306	4334
gene-SAOUHSC_01473	CP000253.1	1430641	1431612	-	972	2409	2781	237	1670	1222	1015
gene-SAOUHSC_01474	CP000253.1	1431599	1432699	-	1101	2538	2346	350	2303	1503	1352
gene-SAOUHSC_01475	CP000253.1	1432806	1433948	-	1143	3163	2673	494	3053	1970	1651
gene-SAOUHSC_01476	CP000253.1	1434189	1434506	-	318	879	1011	87	705	486	349
gene-SAOUHSC_01477	CP000253.1	1434843	1435523	-	681	98971	83279	19538	47227	45652	22518
gene-SAOUHSC_01478	CP000253.1	1435595	1436182	-	588	2078	2588	192	1040	932	803
gene-SAOUHSC_01479	CP000253.1	1436172	1436747	-	576	2617	3121	322	1851	1519	1371
gene-SAOUHSC_01480	CP000253.1	1436761	1437864	-	1104	7389	8333	851	5673	4918	4155
gene-SAOUHSC_01481	CP000253.1	1438012	1439310	-	1299	5864	7583	1014	3317	2740	2150
gene-SAOUHSC_01482	CP000253.1	1439320	1440384	-	1065	2814	3286	447	1202	1025	889
gene-SAOUHSC_01483	CP000253.1	1440410	1441576	-	1167	3919	4644	815	1127	947	762
gene-SAOUHSC_01484	CP000253.1	1441962	1442162	-	201	17	24	3	14	7	18
gene-SAOUHSC_01485	CP000253.1	1442371	1442802	-	432	6577	5864	695	3328	2890	2083
gene-SAOUHSC_01486	CP000253.1	1442912	1443856	-	945	4262	4640	499	2630	2428	1591
gene-SAOUHSC_01487	CP000253.1	1443873	1444475	-	603	3426	4109	929	1828	1612	1042
gene-SAOUHSC_01488	CP000253.1	1444601	1445173	-	573	1976	2495	375	600	575	412
gene-SAOUHSC_01489	CP000253.1	1445100	1445414	+	315	0	1	0	6	1	2
gene-SAOUHSC_01490	CP000253.1	1445604	1445876	-	273	121969	110718	62703	29187	23973	15186
gene-SAOUHSC_01491	CP000253.1	1446047	1447045	-	999	13956	17242	3481	8188	5985	6306
gene-SAOUHSC_01492	CP000253.1	1447062	1448372	-	1311	15021	17668	3355	7422	5780	4976
gene-SAOUHSC_01493	CP000253.1	1448594	1449769	-	1176	45540	40448	9282	25885	21375	12669
gene-SAOUHSC_A01436	CP000253.1	1450026	1450217	-	192	3	3	0	7	1	3
gene-SAOUHSC_01494	CP000253.1	1450171	1450308	+	138	0	0	0	0	0	1
gene-SAOUHSC_01495	CP000253.1	1450334	1450450	-	117	225	107	41	165	114	115
gene-SAOUHSC_01496	CP000253.1	1450481	1451032	-	552	3497	4464	900	2424	1874	1670
gene-SAOUHSC_01497	CP000253.1	1451217	1452185	+	969	1848	1563	287	2063	1614	1526
gene-SAOUHSC_01499	CP000253.1	1452300	1453286	-	987	3451	2314	452	3489	3519	2352
gene-SAOUHSC_01500	CP000253.1	1453447	1453563	-	117	27	53	6	12	8	18
gene-SAOUHSC_01501	CP000253.1	1453688	1455148	-	1461	49196	59083	19772	18656	17375	10559
gene-SAOUHSC_01502	CP000253.1	1455301	1456680	-	1380	4628	5042	879	2643	2111	1694
gene-SAOUHSC_01503	CP000253.1	1456670	1457623	-	954	2110	2121	125	2050	1403	1675
gene-SAOUHSC_01504	CP000253.1	1457755	1457979	+	225	6337	4832	1370	22581	17625	18354
gene-SAOUHSC_01505	CP000253.1	1458085	1458630	-	546	6639	4206	1177	11350	8587	6758
gene-SAOUHSC_01507	CP000253.1	1458909	1459028	-	120	175	169	21	246	116	182
gene-SAOUHSC_01508	CP000253.1	1459227	1460141	-	915	975	1024	96	2190	1312	1637
gene-SAOUHSC_01510	CP000253.1	1460156	1460362	-	207	89	133	7	218	160	198
gene-SAOUHSC_01511	CP000253.1	1460355	1461245	-	891	354	436	50	660	461	519
gene-SAOUHSC_01512	CP000253.1	1461363	1462280	-	918	515	678	75	906	691	777
gene-SAOUHSC_01513	CP000253.1	1462371	1462718	-	348	418	282	40	1111	757	756
gene-SAOUHSC_01514	CP000253.1	1462963	1463799	-	837	0	0	0	0	0	0
gene-SAOUHSC_A01455	CP000253.1	1464035	1464217	-	183	0	0	0	0	0	0
gene-SAOUHSC_01515	CP000253.1	1464415	1465869	-	1455	0	0	0	0	0	0
gene-SAOUHSC_01516	CP000253.1	1465880	1466182	-	303	0	0	0	0	0	0
gene-SAOUHSC_01517	CP000253.1	1466318	1466617	-	300	0	0	0	0	0	0
gene-SAOUHSC_01518	CP000253.1	1466663	1466827	-	165	0	0	0	0	0	0
gene-SAOUHSC_01519	CP000253.1	1466820	1467209	-	390	0	0	0	0	0	0
gene-SAOUHSC_01520	CP000253.1	1467209	1468675	-	1467	0	0	0	0	0	0
gene-SAOUHSC_01521	CP000253.1	1468675	1470585	-	1911	0	0	0	0	0	0
gene-SAOUHSC_01522	CP000253.1	1470601	1470891	-	291	0	0	0	0	0	0
gene-SAOUHSC_01523	CP000253.1	1470891	1472474	-	1584	0	0	0	0	0	0
gene-SAOUHSC_01524	CP000253.1	1472483	1473307	-	825	0	0	0	0	0	0
gene-SAOUHSC_01525	CP000253.1	1473307	1479507	-	6201	0	0	0	0	0	0
gene-SAOUHSC_01526	CP000253.1	1479521	1479679	-	159	0	0	0	0	0	0
gene-SAOUHSC_01527	CP000253.1	1479721	1480071	-	351	0	0	0	0	0	0
gene-SAOUHSC_01528	CP000253.1	1480129	1480584	-	456	0	0	0	0	0	0
gene-SAOUHSC_01529	CP000253.1	1480676	1481317	-	642	0	0	0	0	0	0
gene-SAOUHSC_01530	CP000253.1	1481352	1481747	-	396	0	0	0	0	0	0
gene-SAOUHSC_01531	CP000253.1	1481748	1482149	-	402	0	0	0	0	0	0
gene-SAOUHSC_01532	CP000253.1	1482146	1482478	-	333	0	0	0	0	0	0
gene-SAOUHSC_01533	CP000253.1	1482490	1482768	-	279	0	0	0	0	0	0
gene-SAOUHSC_01535	CP000253.1	1482837	1484000	-	1164	0	0	0	0	0	0
gene-SAOUHSC_01536	CP000253.1	1484012	1484785	-	774	0	0	0	0	0	0
gene-SAOUHSC_01537	CP000253.1	1484769	1486007	-	1239	0	0	0	0	0	0
gene-SAOUHSC_01538	CP000253.1	1486012	1487703	-	1692	0	0	0	0	0	0
gene-SAOUHSC_01539	CP000253.1	1487693	1487998	-	306	0	0	0	0	0	0
gene-SAOUHSC_01540	CP000253.1	1488120	1488434	-	315	0	0	0	0	0	0
gene-SAOUHSC_01541	CP000253.1	1488591	1489028	-	438	0	0	0	0	0	0
gene-SAOUHSC_01542	CP000253.1	1489041	1490408	-	1368	0	0	0	0	0	0
gene-SAOUHSC_01543	CP000253.1	1490389	1490679	-	291	0	0	0	0	0	0
gene-SAOUHSC_01544	CP000253.1	1490813	1490917	+	105	0	0	0	0	0	0
gene-SAOUHSC_01545	CP000253.1	1491020	1491310	-	291	0	0	0	0	0	0
gene-SAOUHSC_01546	CP000253.1	1491243	1491503	-	261	0	0	0	0	0	0
gene-SAOUHSC_01547	CP000253.1	1491472	1493469	-	1998	0	0	0	0	0	0
gene-SAOUHSC_01548	CP000253.1	1493521	1493721	-	201	0	0	0	0	0	0
gene-SAOUHSC_01549	CP000253.1	1493789	1493956	-	168	0	0	0	0	0	0
gene-SAOUHSC_01550	CP000253.1	1493944	1494144	-	201	0	0	0	0	0	0
gene-SAOUHSC_01551	CP000253.1	1494119	1494307	-	189	0	0	0	0	0	0
gene-SAOUHSC_01552	CP000253.1	1494344	1494886	-	543	0	0	0	0	0	0
gene-SAOUHSC_01553	CP000253.1	1494891	1495127	-	237	0	0	0	0	0	0
gene-SAOUHSC_01554	CP000253.1	1495120	1495428	-	309	0	0	0	0	0	0
gene-SAOUHSC_01555	CP000253.1	1495425	1495772	-	348	0	0	0	0	0	0
gene-SAOUHSC_01556	CP000253.1	1495769	1496170	-	402	0	0	0	0	0	0
gene-SAOUHSC_01557	CP000253.1	1496173	1496379	-	207	0	0	0	0	0	0
gene-SAOUHSC_01558	CP000253.1	1496393	1496635	-	243	0	0	0	0	0	0
gene-SAOUHSC_01559	CP000253.1	1496650	1496850	-	201	0	0	0	0	0	0
gene-SAOUHSC_01560	CP000253.1	1496853	1497110	-	258	0	0	0	0	0	0
gene-SAOUHSC_01561	CP000253.1	1497110	1497511	-	402	0	0	0	0	0	0
gene-SAOUHSC_01562	CP000253.1	1497511	1497696	-	186	0	0	0	0	0	0
gene-SAOUHSC_01563	CP000253.1	1497709	1499661	-	1953	0	0	0	0	0	0
gene-SAOUHSC_01565	CP000253.1	1499730	1500287	-	558	0	0	0	0	0	0
gene-SAOUHSC_01566	CP000253.1	1500313	1501479	-	1167	0	0	0	0	0	0
gene-SAOUHSC_01567	CP000253.1	1501476	1501838	-	363	0	0	0	0	0	0
gene-SAOUHSC_01568	CP000253.1	1501853	1502176	-	324	0	0	0	0	0	0
gene-SAOUHSC_01569	CP000253.1	1502255	1502416	-	162	0	0	0	0	0	0
gene-SAOUHSC_01570	CP000253.1	1502429	1502692	-	264	0	0	0	0	0	0
gene-SAOUHSC_01571	CP000253.1	1502717	1502932	-	216	0	0	0	0	0	0
gene-SAOUHSC_01572	CP000253.1	1502987	1503352	+	366	0	0	0	0	0	0
gene-SAOUHSC_01573	CP000253.1	1503321	1503566	-	246	0	0	0	0	0	0
gene-SAOUHSC_01574	CP000253.1	1503582	1503845	-	264	0	0	0	0	0	0
gene-SAOUHSC_A01514	CP000253.1	1503842	1504015	-	174	0	0	0	0	0	0
gene-SAOUHSC_01575	CP000253.1	1503978	1504691	+	714	0	0	0	0	0	0
gene-SAOUHSC_01576	CP000253.1	1504707	1505639	+	933	0	0	0	0	0	0
gene-SAOUHSC_01577	CP000253.1	1505645	1505986	+	342	0	0	0	0	0	0
gene-SAOUHSC_01578	CP000253.1	1506145	1506372	+	228	0	0	0	0	0	0
gene-SAOUHSC_01579	CP000253.1	1506409	1506555	+	147	0	0	0	0	0	0
gene-SAOUHSC_01580	CP000253.1	1506552	1507166	-	615	0	0	0	0	0	0
gene-SAOUHSC_01582	CP000253.1	1507292	1508497	+	1206	0	0	0	0	0	0
gene-SAOUHSC_01583	CP000253.1	1508540	1510567	-	2028	2022	2284	344	4935	3367	4693
gene-SAOUHSC_01584	CP000253.1	1510560	1511429	-	870	728	958	152	1524	1090	1239
gene-SAOUHSC_01585	CP000253.1	1511734	1513485	-	1752	9300	12579	1776	10105	7761	8343
gene-SAOUHSC_01586	CP000253.1	1513466	1514191	-	726	7442	7607	1425	6724	5531	5129
gene-SAOUHSC_01587	CP000253.1	1514324	1515061	-	738	3180	3784	663	4019	3134	3320
gene-SAOUHSC_01588	CP000253.1	1515054	1515596	-	543	1096	1245	218	1490	1074	1118
gene-SAOUHSC_01589	CP000253.1	1515589	1516320	-	732	2974	2706	266	2695	1938	2122
gene-SAOUHSC_01590	CP000253.1	1516412	1516918	+	507	585	1013	92	442	323	257
gene-SAOUHSC_01591	CP000253.1	1516996	1517883	-	888	3108	3652	285	7963	7268	6211
gene-SAOUHSC_01592	CP000253.1	1517932	1518381	-	450	3860	3507	352	7387	5712	5148
gene-SAOUHSC_01593	CP000253.1	1518486	1519028	-	543	794	982	89	417	348	308
gene-SAOUHSC_01594	CP000253.1	1519110	1520018	+	909	4438	5466	678	2117	1761	1657
gene-SAOUHSC_01595	CP000253.1	1520234	1520482	-	249	382	516	96	254	235	157
gene-SAOUHSC_01596	CP000253.1	1520498	1521253	-	756	1461	1369	132	869	722	569
gene-SAOUHSC_01597	CP000253.1	1521425	1522210	+	786	4174	4946	671	3603	2676	2778
gene-SAOUHSC_01598	CP000253.1	1522315	1523235	-	921	2916	2808	506	1820	1184	1210
gene-SAOUHSC_01599	CP000253.1	1523548	1525032	+	1485	38182	40485	3767	22519	17588	12257
gene-SAOUHSC_01600	CP000253.1	1525235	1526128	+	894	11857	10491	840	10588	9265	7402
gene-SAOUHSC_01601	CP000253.1	1526211	1527860	-	1650	1333	1836	538	6713	5137	4438
gene-SAOUHSC_01602	CP000253.1	1527876	1528895	-	1020	626	752	100	1294	1016	815
gene-SAOUHSC_01603	CP000253.1	1528896	1529150	-	255	4	2	0	20	6	13
gene-SAOUHSC_01604	CP000253.1	1529089	1529460	-	372	6554	8076	1797	2625	2427	1343
gene-SAOUHSC_01605	CP000253.1	1529679	1531085	-	1407	28001	26458	4823	19586	16106	11934
gene-SAOUHSC_01606	CP000253.1	1531153	1532286	-	1134	3501	4117	761	3744	3086	2187
gene-SAOUHSC_01607	CP000253.1	1532549	1532728	+	180	112	133	27	57	53	57
gene-SAOUHSC_01608	CP000253.1	1532809	1532901	+	93	6	7	0	10	9	9
gene-SAOUHSC_01609	CP000253.1	1532855	1533835	-	981	2853	3230	241	2009	1466	1518
gene-SAOUHSC_01610	CP000253.1	1533849	1534286	-	438	1715	2012	558	1359	1010	826
gene-SAOUHSC_01611	CP000253.1	1534637	1535911	-	1275	9405	9177	1607	23193	14524	16659
gene-SAOUHSC_01612	CP000253.1	1535924	1536907	-	984	5820	6044	1309	13846	9177	9634
gene-SAOUHSC_01613	CP000253.1	1536907	1537899	-	993	5465	5281	1807	13482	8362	9385
gene-SAOUHSC_01614	CP000253.1	1537915	1539336	-	1422	5043	5381	1054	12884	8932	9230
gene-SAOUHSC_01615	CP000253.1	1539487	1541166	-	1680	5164	6667	925	8549	5190	5401
gene-SAOUHSC_01617	CP000253.1	1541182	1541634	-	453	1516	1646	61	1390	746	720
gene-SAOUHSC_01618	CP000253.1	1542066	1542947	-	882	5302	7410	1626	5649	4514	4091
gene-SAOUHSC_01619	CP000253.1	1542925	1543155	-	231	1034	931	73	791	669	565
gene-SAOUHSC_01620	CP000253.1	1543148	1544485	-	1338	8676	9142	1072	6176	5120	4292
gene-SAOUHSC_01621	CP000253.1	1544502	1544891	-	390	5498	6641	474	3791	3225	2785
gene-SAOUHSC_01622	CP000253.1	1544951	1545313	-	363	3570	4317	984	2330	1862	1647
gene-SAOUHSC_01623	CP000253.1	1545328	1546683	-	1356	9859	10966	2897	7191	6177	5165
gene-SAOUHSC_01624	CP000253.1	1546683	1547147	-	465	4086	4540	1262	2911	2677	2064
gene-SAOUHSC_01625	CP000253.1	1547621	1548178	-	558	17631	15003	2533	9896	8112	6831
gene-SAOUHSC_01626	CP000253.1	1548204	1549265	-	1062	6210	10157	1451	2773	2049	1648
gene-SAOUHSC_01627	CP000253.1	1549370	1549951	+	582	3100	3231	127	2131	1273	1502
gene-SAOUHSC_01628	CP000253.1	1549965	1550183	+	219	741	724	53	590	346	417
gene-SAOUHSC_01629	CP000253.1	1550247	1551077	-	831	4115	4417	1375	4229	2767	2970
gene-SAOUHSC_01630	CP000253.1	1551235	1551621	+	387	4433	4224	553	2941	2041	1687
gene-SAOUHSC_01632	CP000253.1	1551986	1553458	-	1473	6851	7754	2770	4546	3885	2883
gene-SAOUHSC_01633	CP000253.1	1553451	1554797	-	1347	4854	5801	846	3010	2855	2057
gene-SAOUHSC_01634	CP000253.1	1554817	1555908	-	1092	2476	3250	361	1546	1221	954
gene-SAOUHSC_01635	CP000253.1	1556067	1556591	-	525	3515	3883	261	1819	1754	1005
gene-SAOUHSC_01636	CP000253.1	1556581	1556727	-	147	2	3	2	1	2	1
gene-SAOUHSC_01637	CP000253.1	1556824	1557198	-	375	55	91	4	58	38	50
gene-SAOUHSC_01638	CP000253.1	1557239	1557559	-	321	78	67	2	101	73	79
gene-SAOUHSC_01639	CP000253.1	1557525	1557971	-	447	39	29	1	49	35	35
gene-SAOUHSC_01640	CP000253.1	1557949	1558260	-	312	36	41	4	64	43	67
gene-SAOUHSC_01641	CP000253.1	1558274	1559194	-	921	119	76	5	181	133	183
gene-SAOUHSC_01643	CP000253.1	1559316	1560290	-	975	260	254	31	501	292	295
gene-SAOUHSC_01644	CP000253.1	1560342	1560965	-	624	6846	7132	914	3971	3066	2907
gene-SAOUHSC_01645	CP000253.1	1560962	1561291	-	330	2375	3171	325	1236	1186	1060
gene-SAOUHSC_01646	CP000253.1	1561291	1562277	-	987	5738	6031	2775	3027	2626	2289
gene-SAOUHSC_01647	CP000253.1	1562274	1562477	-	204	499	681	62	181	175	196
gene-SAOUHSC_01648	CP000253.1	1562458	1562910	-	453	2021	2706	683	802	735	642
gene-SAOUHSC_01649	CP000253.1	1562911	1563921	-	1011	2762	3302	278	952	825	827
gene-SAOUHSC_01650	CP000253.1	1563933	1564472	-	540	1666	2525	225	589	459	443
gene-SAOUHSC_01651	CP000253.1	1564681	1564830	-	150	7312	5073	326	6285	4134	3867
gene-SAOUHSC_01652	CP000253.1	1564943	1567018	-	2076	10790	10879	1667	6389	5703	4141
gene-SAOUHSC_01653	CP000253.1	1567139	1567738	-	600	52587	69264	9869	27591	26766	16671
gene-SAOUHSC_01655	CP000253.1	1568014	1568424	-	411	698	903	34	2533	1889	1669
gene-SAOUHSC_01656	CP000253.1	1568411	1569274	-	864	1634	1887	96	5416	4031	3392
gene-SAOUHSC_01657	CP000253.1	1569316	1570101	-	786	1588	1960	91	5200	3716	3312
gene-SAOUHSC_01658	CP000253.1	1570227	1571117	-	891	8379	10953	2170	14721	11890	12781
gene-SAOUHSC_01659	CP000253.1	1571127	1572473	-	1347	9064	11714	1622	13888	11746	12051
gene-SAOUHSC_01660	CP000253.1	1572587	1573687	-	1101	7039	7848	1321	9264	8414	6353
gene-SAOUHSC_01661	CP000253.1	1573690	1574367	-	678	3613	4048	420	5279	4294	3826
gene-SAOUHSC_01662	CP000253.1	1574498	1575604	-	1107	22605	17502	3634	36774	27484	23110
gene-SAOUHSC_01663	CP000253.1	1575828	1577627	-	1800	13463	11887	1512	30159	20805	20155
gene-SAOUHSC_01664	CP000253.1	1577688	1578506	-	819	2807	2811	472	2561	1821	1773
gene-SAOUHSC_01665	CP000253.1	1578517	1579056	-	540	1576	1469	105	1383	850	988
gene-SAOUHSC_01666	CP000253.1	1579475	1580866	+	1392	74427	69546	12899	30520	26431	18966
gene-SAOUHSC_01667	CP000253.1	1581016	1581762	-	747	3072	3015	469	5121	3687	3995
gene-SAOUHSC_01668	CP000253.1	1581790	1582464	-	675	3088	3024	283	5349	3667	3977
gene-SAOUHSC_01669	CP000253.1	1582589	1582765	+	177	297	395	18	521	406	353
gene-SAOUHSC_01670	CP000253.1	1582690	1583094	-	405	1097	1016	51	1765	1097	1161
gene-SAOUHSC_01671	CP000253.1	1583105	1583449	-	345	898	864	52	1216	668	915
gene-SAOUHSC_01672	CP000253.1	1583452	1583919	-	468	2089	2344	222	2858	2000	1873
gene-SAOUHSC_01673	CP000253.1	1583920	1584867	-	948	4679	5969	637	4525	3219	3168
gene-SAOUHSC_01675	CP000253.1	1585171	1585869	-	699	28852	34969	11922	32930	24952	19627
gene-SAOUHSC_01676	CP000253.1	1585886	1586875	-	990	29694	28135	8636	32389	23734	18861
gene-SAOUHSC_01677	CP000253.1	1586893	1587576	-	684	17654	15707	3186	17064	12715	11066
gene-SAOUHSC_01678	CP000253.1	1587820	1587996	-	177	39726	18607	3092	32815	26433	19488
gene-SAOUHSC_01679	CP000253.1	1588289	1589635	-	1347	11466	13945	2122	11064	12343	7938
gene-SAOUHSC_01680	CP000253.1	1589642	1590394	-	753	2663	3171	322	3313	3699	2507
gene-SAOUHSC_01681	CP000253.1	1590396	1591334	-	939	10565	5621	1138	37891	42472	29582
gene-SAOUHSC_01682	CP000253.1	1591338	1592477	-	1140	9291	5258	1444	30487	40551	26669
gene-SAOUHSC_01683	CP000253.1	1592613	1594445	-	1833	111189	25784	5865	608698	675071	450816
gene-SAOUHSC_01684	CP000253.1	1594514	1595140	-	627	30204	5880	195	164939	192335	128983
gene-SAOUHSC_01685	CP000253.1	1595172	1596149	-	978	26557	4302	214	121678	126514	105298
gene-SAOUHSC_01686	CP000253.1	1596250	1597374	-	1125	926	1133	212	1745	1521	1402
gene-SAOUHSC_01687	CP000253.1	1597626	1597754	-	129	400	551	484	491	468	378
gene-SAOUHSC_01688	CP000253.1	1597937	1599760	-	1824	12163	12198	2474	13783	9993	11164
gene-SAOUHSC_01689	CP000253.1	1600106	1600357	+	252	10648	11616	446	8704	7863	6299
gene-SAOUHSC_01690	CP000253.1	1600402	1601376	-	975	1406	1434	90	4709	3113	4350
gene-SAOUHSC_01691	CP000253.1	1601433	1603580	-	2148	1789	1964	195	1898	1486	1592
gene-SAOUHSC_01692	CP000253.1	1603639	1604070	-	432	3703	4088	430	2185	1955	1445
gene-SAOUHSC_01693	CP000253.1	1604192	1604878	-	687	881	1061	117	1283	951	1013
gene-SAOUHSC_01694	CP000253.1	1604918	1605634	-	717	6273	6096	592	5013	3933	3556
gene-SAOUHSC_01695	CP000253.1	1605637	1605990	-	354	3911	5412	895	3345	2913	2450
gene-SAOUHSC_01696	CP000253.1	1605991	1606575	-	585	4912	6294	1571	2900	2835	2232
gene-SAOUHSC_01697	CP000253.1	1606565	1607134	-	570	2674	3692	633	2781	2223	2111
gene-SAOUHSC_01698	CP000253.1	1607137	1607427	-	291	706	686	48	631	532	477
gene-SAOUHSC_01699	CP000253.1	1607431	1608237	-	807	2067	2263	281	1959	1521	1436
gene-SAOUHSC_01700	CP000253.1	1608251	1609351	-	1101	3909	4054	526	4003	3200	2800
gene-SAOUHSC_01701	CP000253.1	1609352	1609879	-	528	1936	2295	213	1892	1605	1491
gene-SAOUHSC_01702	CP000253.1	1609899	1610585	-	687	2040	2121	140	1744	1436	1208
gene-SAOUHSC_01703	CP000253.1	1610631	1610792	-	162	3	17	1	2	2	5
gene-SAOUHSC_01704	CP000253.1	1610899	1611168	+	270	136	210	12	66	44	68
gene-SAOUHSC_01705	CP000253.1	1611370	1612074	-	705	206	324	30	419	280	258
gene-SAOUHSC_01706	CP000253.1	1612536	1613756	-	1221	1658	2406	116	2083	1458	1343
gene-SAOUHSC_01707	CP000253.1	1614045	1615274	-	1230	1596	2093	139	1764	1415	1104
gene-SAOUHSC_01708	CP000253.1	1615287	1616039	-	753	866	1436	205	963	827	691
gene-SAOUHSC_01709	CP000253.1	1616039	1617400	-	1362	1766	3611	504	1570	1586	1037
gene-SAOUHSC_01710	CP000253.1	1617414	1617863	-	450	442	917	53	301	281	211
gene-SAOUHSC_01711	CP000253.1	1617865	1618779	-	915	1355	2173	274	742	656	430
gene-SAOUHSC_01712	CP000253.1	1618865	1619566	-	702	1244	1858	321	488	496	260
gene-SAOUHSC_01714	CP000253.1	1619925	1620401	-	477	9364	9412	892	9466	7370	6798
gene-SAOUHSC_01715	CP000253.1	1620429	1621052	-	624	6558	8173	1360	7170	6337	5302
gene-SAOUHSC_01716	CP000253.1	1621052	1622320	-	1269	7115	6618	1726	8786	7586	6379
gene-SAOUHSC_01717	CP000253.1	1622332	1623255	-	924	2950	3288	429	4064	3732	2871
gene-SAOUHSC_01718	CP000253.1	1623258	1623896	-	639	986	1004	35	1178	829	944
gene-SAOUHSC_01719	CP000253.1	1624181	1624489	-	309	9672	12781	4060	6268	4634	4823
gene-SAOUHSC_01720	CP000253.1	1624504	1624932	-	429	10855	20454	3919	5806	5309	4841
gene-SAOUHSC_01721	CP000253.1	1624936	1625196	-	261	9033	13671	1485	4170	3186	3044
gene-SAOUHSC_01722	CP000253.1	1625259	1627889	-	2631	13040	16144	4582	7657	5773	6833
gene-SAOUHSC_01723	CP000253.1	1628232	1630709	-	2478	2989	3410	483	5641	4260	4342
gene-SAOUHSC_01724	CP000253.1	1630711	1631379	-	669	574	707	53	577	472	422
gene-SAOUHSC_01725	CP000253.1	1631841	1632614	-	774	6894	7212	1734	8829	7355	6049
gene-SAOUHSC_01726	CP000253.1	1632623	1632925	-	303	1899	2356	357	2396	1831	1686
gene-SAOUHSC_01727	CP000253.1	1632959	1634101	-	1143	9608	12980	1628	9641	8153	7072
gene-SAOUHSC_01728	CP000253.1	1634413	1635426	+	1014	1988	1985	575	2439	1834	1530
gene-SAOUHSC_01729	CP000253.1	1635663	1635809	-	147	48620	86437	6284	12372	9724	10124
gene-SAOUHSC_01730	CP000253.1	1635849	1636031	-	183	25059	49668	3143	8440	6733	5225
gene-SAOUHSC_01732	CP000253.1	1636204	1636554	-	351	4616	8050	2260	2918	2110	1936
gene-SAOUHSC_01733	CP000253.1	1636551	1636727	-	177	61	27	2	117	74	62
gene-SAOUHSC_01734	CP000253.1	1636666	1637913	+	1248	9490	8940	1300	7747	6942	5394
gene-SAOUHSC_01735	CP000253.1	1638074	1638847	-	774	5865	4837	437	3787	3465	2249
gene-SAOUHSC_01736	CP000253.1	1638847	1638975	-	129	185	136	58	168	104	116
gene-SAOUHSC_01737	CP000253.1	1639308	1641074	-	1767	5935	8310	2006	3696	3143	2766
gene-SAOUHSC_01738	CP000253.1	1641090	1642352	-	1263	1642	2144	303	1189	985	921
gene-SAOUHSC_01739	CP000253.1	1642813	1643688	-	876	7303	11160	870	3810	2943	2608
gene-SAOUHSC_01741	CP000253.1	1643685	1644137	-	453	4275	5165	884	1871	1692	1271
gene-SAOUHSC_01742	CP000253.1	1644149	1646338	-	2190	20772	27791	4518	9162	7305	6301
gene-SAOUHSC_01743	CP000253.1	1646766	1647284	-	519	3291	3161	528	5168	3087	3989
gene-SAOUHSC_01744	CP000253.1	1647306	1649579	-	2274	4591	4744	423	9320	5595	7246
gene-SAOUHSC_01746	CP000253.1	1649782	1652001	-	2220	16277	17580	1934	12596	9708	9447
gene-SAOUHSC_01747	CP000253.1	1652336	1652596	-	261	5968	5233	473	4162	3562	2701
gene-SAOUHSC_01748	CP000253.1	1652615	1653754	-	1140	6341	8896	1438	7848	7526	6015
gene-SAOUHSC_01749	CP000253.1	1653777	1654802	-	1026	3940	6056	1050	6415	6341	5286
gene-SAOUHSC_01750	CP000253.1	1654804	1655808	-	1005	5398	8097	2433	7275	7223	5877
